stable_id	description
WBGene00284957	Predicted to enable ABC-type transporter activity and ATP binding activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrX_pilon.g20673 and mrp-5. In C. elegans, mrp-5 is involved in cobalamin transport.
WBGene00284958	none available
WBGene00284959	none available
WBGene00284960	none available
WBGene00284961	Predicted to be integral component of membrane. Is an ortholog of C. elegans chrV_pilon.g14557 and ptr-15. In C. elegans, ptr-15 is involved in molting cycle.
WBGene00284962	none available
WBGene00284963	Predicted to enable ATP binding activity and DNA binding activity. Predicted to be involved in DNA duplex unwinding and DNA replication initiation. Predicted to be part of MCM complex. Is an ortholog of C. elegans chrV_pilon.g16681 and mcm-3.
WBGene00284964	none available
WBGene00284965	none available
WBGene00284966	Predicted to be involved in DNA repair and DNA replication. Predicted to be located in mitochondrion.
WBGene00284967	Predicted to enable nuclear export signal receptor activity and small GTPase binding activity. Predicted to be involved in intracellular protein transport. Is an ortholog of C. elegans chrV_pilon.g14823; chrV_pilon.g14826; and xpo-1.
WBGene00284968	none available
WBGene00284969	Is predicted to encode a protein with the following domains: FEZ-like protein and Fasciculation and elongation protein zeta, FEZ. Is an ortholog of C. elegans chrV_pilon.g16687 and unc-76. In C. elegans, unc-76 is involved in axonal fasciculation; regulation of axon extension; and regulation of synapse organization.
WBGene00284970	Is predicted to encode a protein with the following domains: Uncharacterised protein family UPF0564 and Uncharacterised protein family UPF0564.
WBGene00284971	Predicted to be located in nucleus. Is an ortholog of C. elegans C47E8.4 and chrV_pilon.g16588.
WBGene00284972	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans chrI_pilon.g2292 and phm-2.
WBGene00284973	none available
WBGene00284974	Is predicted to encode a protein with the following domains: Ankyrin repeats (3 copies); Ankyrin repeats (many copies); Ankyrin repeat; Ankyrin repeat-containing domain; and Ankyrin repeat-containing domain superfamily. Is an ortholog of B. malayi Bm7849.
WBGene00284975	none available
WBGene00284976	Is predicted to encode a protein with the following domains: Conserved region of unknown function on GLTSCR protein; GLTSCR protein, conserved region; and BRD4-interacting chromatin-remodeling complex-associated protein.
WBGene00284977	Predicted to be involved in negative regulation of cysteine-type endopeptidase activity involved in apoptotic process. Predicted to be located in cytoplasm. Predicted to be part of Ragulator complex.
WBGene00284978	Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be located in ribosome. Is an ortholog of C. elegans rps-24; T07A9.14; and chrIV_pilon.g9495.
WBGene00284979	Predicted to enable nucleic acid binding activity.
WBGene00284980	none available
WBGene00284981	none available
WBGene00284982	none available
WBGene00284983	Predicted to enable potassium channel activity. Predicted to be involved in potassium ion transmembrane transport. Predicted to be located in membrane. Is an ortholog of B. malayi Bm3812.
WBGene00284984	Predicted to enable calcium ion binding activity.
WBGene00284985	Predicted to enable threonine-type endopeptidase activity. Predicted to be involved in proteolysis involved in cellular protein catabolic process. Predicted to be part of proteasome core complex. Is an ortholog of C. elegans chrI_pilon.g609 and pbs-4.
WBGene00284986	none available
WBGene00284987	Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be located in ribosome. Is an ortholog of C. elegans W01D2.1; chrII_pilon.g6618; and rpl-37.
WBGene00284988	Predicted to enable DNA binding activity. Predicted to be involved in positive regulation of transcription, DNA-templated. Predicted to be located in nucleus. Is an ortholog of C. elegans chrI_pilon.g141 and hmbx-1.
WBGene00284989	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrIV_pilon.g9734 and frpr-19.
WBGene00284990	Predicted to enable cadherin binding activity. Predicted to be involved in cell-cell adhesion; embryonic body morphogenesis; and regulation of actin cytoskeleton organization. Predicted to be located in adherens junction. Is an ortholog of C. elegans chrIV_pilon.g12683 and jac-1. In C. elegans, jac-1 is involved in embryonic body morphogenesis; regulation of actin cytoskeleton organization; and regulation of protein localization.
WBGene00284991	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans wee-1.3; wee-1.1; and chrII_pilon.g6573.
WBGene00284992	Predicted to enable kinase activity. Predicted to be involved in inositol phosphate biosynthetic process. Is an ortholog of C. elegans chrIV_pilon.g12105 and ipmk-1.
WBGene00284993	none available
WBGene00284994	none available
WBGene00284995	Is predicted to encode a protein with the following domain: Transmembrane protein 168.
WBGene00284996	Is predicted to encode a protein with the following domains: Ricin-type beta-trefoil lectin domain; Glycosyl transferase family 2; Ricin B, lectin domain; Glycosyltransferase 2-like; Nucleotide-diphospho-sugar transferases; and Ricin B-like lectins. Is an ortholog of C. elegans chrIV_pilon.g12376 and gly-10.
WBGene00284997	Predicted to enable ATP binding activity and ATP hydrolysis activity. Predicted to be involved in chromosome organization. Predicted to be located in chromosome. Is an ortholog of C. elegans chrI_pilon.g806 and him-1. In C. elegans, him-1 is involved in chromosome segregation; embryo development; and response to radiation.
WBGene00284998	Is predicted to encode a protein with the following domain: Nucleic acid-binding, OB-fold. Is an ortholog of C. elegans C06G3.8 and chrIV_pilon.g10736.
WBGene00284999	none available
WBGene00285000	Predicted to enable catalytic activity.
WBGene00285001	Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be located in ribosome. Is an ortholog of C. elegans chrIV_pilon.g12251 and rpl-12. In C. elegans, rpl-12 is involved in regulation of alternative mRNA splicing, via spliceosome.
WBGene00285002	Predicted to enable protein heterodimerization activity. Predicted to be involved in transcription initiation from RNA polymerase II promoter. Predicted to be located in nucleus. Is an ortholog of C. elegans taf-11.2; taf-11.1; and chrX_pilon.g18883.
WBGene00285003	Is predicted to encode a protein with the following domains: Protein of unknown function (DUF1759) and Protein of unknown function DUF1759.
WBGene00285004	none available
WBGene00285005	Is predicted to encode a protein with the following domains: Filopodia upregulated, FAM65; Armadillo-type fold; RIPOR family member 3; and FAM65, N-terminal. Is an ortholog of C. elegans Y37A1A.4 and chrIV_pilon.g12404.
WBGene00285006	Predicted to be involved in protein transport. Predicted to be located in membrane. Is an ortholog of C. elegans chrIV_pilon.g12544 and sec-61.A.
WBGene00285007	Predicted to enable nucleic acid binding activity. Is an ortholog of B. malayi Bm10220.
WBGene00285008	none available
WBGene00285009	none available
WBGene00285010	Predicted to enable several functions, including NAD binding activity; NAD+ ADP-ribosyltransferase activity; and zinc ion binding activity. Predicted to be involved in protein ADP-ribosylation. Predicted to be located in nucleus. Is an ortholog of C. elegans parp-1; chrX_pilon.g18240; and chrX_pilon.g18237. In C. elegans, parp-1 is involved in determination of adult lifespan and protein poly-ADP-ribosylation.
WBGene00285011	Predicted to be involved in ribosome biogenesis. Predicted to be located in nucleus. Is an ortholog of C. elegans chrV_pilon.g16523 and rrbs-1.
WBGene00285012	Predicted to enable acyltransferase activity. Is an ortholog of C. elegans acl-12; acl-14; and acl-13.
WBGene00285013	Is predicted to encode a protein with the following domains: Striatin family; WD domain, G-beta repeat; WD40 repeat; Striatin, N-terminal; WD40/YVTN repeat-like-containing domain superfamily; G-protein beta WD-40 repeat; and WD40-repeat-containing domain superfamily. Is an ortholog of C. elegans cash-1 and chrV_pilon.g15499. In C. elegans, cash-1 is involved in several processes, including positive regulation of GTPase activity; positive regulation of endocytic recycling; and regulation of Golgi organization.
WBGene00285014	Is predicted to encode a protein with the following domains: Damage-control phosphatase ARMT1-like domain; Damage-control phosphatase ARMT1-like, metal-binding domain; and AF1104-like superfamily. Is an ortholog of C. elegans F31D4.2 and chrV_pilon.g18182.
WBGene00285015	none available
WBGene00285016	Is predicted to encode a protein with the following domains: FLYWCH zinc finger domain and Zinc finger, FLYWCH-type.
WBGene00285017	Predicted to be involved in regulation of phosphorylation. Predicted to be located in cytoplasm.
WBGene00285018	none available
WBGene00285019	none available
WBGene00285020	none available
WBGene00285021	Is predicted to encode a protein with the following domains: Ydr279p protein family (RNase H2 complex component) wHTH domain and Ribonuclease H2 subunit B, wHTH domain. Is an ortholog of C. elegans F21D5.6.
WBGene00285022	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans cfim-2 and chrIV_pilon.g11199.
WBGene00285023	Is an ortholog of C. elegans chrIV_pilon.g11000 and islo-1.
WBGene00285024	none available
WBGene00285025	Predicted to enable zinc ion binding activity. Is an ortholog of C. elegans chrIV_pilon.g10728 and prkl-1.
WBGene00285026	Is an ortholog of C. elegans C24D10.49.
WBGene00285027	Predicted to enable ribokinase activity. Predicted to be involved in D-ribose metabolic process. Is an ortholog of C. elegans F07A11.5 and chrII_pilon.g5996.
WBGene00285028	Predicted to enable potassium:chloride symporter activity. Predicted to be involved in cellular hypotonic salinity response and chloride transmembrane transport. Predicted to be located in membrane. Predicted to be integral component of plasma membrane. Is an ortholog of C. elegans chrIV_pilon.g10543 and kcc-2. In C. elegans, kcc-2 is involved in chloride transport; potassium ion transport; and regulation of GABAergic synaptic transmission.
WBGene00285029	Predicted to enable inorganic anion exchanger activity. Predicted to be involved in anion transport. Predicted to be located in membrane. Predicted to be integral component of membrane. Is an ortholog of B. malayi Bm9545.
WBGene00285030	none available
WBGene00285031	Predicted to enable DNA binding activity and cyanate hydratase activity. Predicted to be involved in cyanate metabolic process.
WBGene00285032	Is predicted to encode a protein with the following domains: CUB domain; CUB domain; and Spermadhesin, CUB domain superfamily.
WBGene00285033	Is predicted to encode a protein with the following domains: Tetratricopeptide repeat; Homodimerisation domain of SGTA; Tetratricopeptide repeat 1; Tetratricopeptide-like helical domain superfamily; Tetratricopeptide repeat; and SGTA, homodimerisation domain.
WBGene00285034	Predicted to enable GTPase activator activity and beta-tubulin binding activity. Predicted to be involved in post-chaperonin tubulin folding pathway and tubulin complex assembly. Is an ortholog of C. elegans chrI_pilon.g1568 and tbcd-1. In C. elegans, tbcd-1 is involved in microtubule cytoskeleton organization.
WBGene00285035	Predicted to enable IMP dehydrogenase activity. Predicted to be involved in purine nucleotide biosynthetic process.
WBGene00285036	Predicted to be involved in protein glycosylation. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrIV_pilon.g10713 and ribo-1.
WBGene00285037	none available
WBGene00285038	none available
WBGene00285039	none available
WBGene00285040	none available
WBGene00285041	none available
WBGene00285042	Is predicted to encode a protein with the following domains: DnaJ domain; DnaJ domain; and Chaperone J-domain superfamily. Is an ortholog of C. elegans chrX_pilon.g18958 and dnj-14. In C. elegans, dnj-14 is involved in determination of adult lifespan; locomotion; and neurotransmitter secretion.
WBGene00285043	Is predicted to encode a protein with the following domains: SEFIR domain and SEFIR domain.
WBGene00285044	none available
WBGene00285045	none available
WBGene00285046	none available
WBGene00285047	none available
WBGene00285048	none available
WBGene00285049	Predicted to enable acetylglucosaminyltransferase activity; heme binding activity; and oxygen binding activity. Predicted to be involved in protein glycosylation. Is an ortholog of C. elegans chrX_pilon.g19416 and gly-12. In C. elegans, gly-12 is involved in protein N-linked glycosylation.
WBGene00285050	Predicted to enable transmembrane transporter activity. Predicted to be involved in transmembrane transport. Is an ortholog of C. elegans chrX_pilon.g20483 and mct-3.
WBGene00285051	none available
WBGene00285052	none available
WBGene00285053	Is predicted to encode a protein with the following domains: FERM N-terminal domain; Cytohesin Ubiquitin Protein Inducing Domain; FERM central domain; FERM C-terminal PH-like domain; PH-like domain superfamily; FERM/acyl-CoA-binding protein superfamily; FERM, N-terminal; FERM, C-terminal PH-like domain; FERM central domain; Band 4.1 domain; Domain of unknown function DUF3338; Ubiquitin-like domain superfamily; and FERM superfamily, second domain. Is an ortholog of C. elegans F07C6.4 and chrIV_pilon.g12146.
WBGene00285054	Predicted to be located in cytoplasm and nucleus. Is an ortholog of C. elegans chrIII_pilon.g7915 and rpn-13.
WBGene00285055	none available
WBGene00285056	Is predicted to encode a protein with the following domains: LIM domain and Zinc finger, LIM-type. Is an ortholog of C. elegans chrIV_pilon.g12484 and tag-273.
WBGene00285057	none available
WBGene00285058	Is predicted to encode a protein with the following domains: 3' exoribonuclease family, domain 1; Exoribonuclease, phosphorolytic domain 1; Ribosomal protein S5 domain 2-type fold; and PNPase/RNase PH domain superfamily. Is an ortholog of C. elegans chrIII_pilon.g6833 and exos-4.2.
WBGene00285059	Predicted to enable pyridoxal phosphate binding activity. Is an ortholog of C. elegans F09E5.8; F09E5.7; and chrII_pilon.g4467.
WBGene00285060	Is predicted to encode a protein with the following domain: Herpesviridae UL52/UL70 DNA primase. Is an ortholog of B. malayi Bm9552.
WBGene00285061	Predicted to be involved in U2 snRNA 3'-end processing. Predicted to be part of integrator complex. Is an ortholog of C. elegans chrI_pilon.g1047 and ints-1.
WBGene00285062	Predicted to enable ATP binding activity and aminoacyl-tRNA ligase activity. Predicted to be involved in tRNA aminoacylation for protein translation.
WBGene00285063	Predicted to be involved in intracellular protein transport and vesicle-mediated transport. Is an ortholog of C. elegans chrX_pilon.g19051 and vps-41. In C. elegans, vps-41 is involved in negative regulation of apoptotic process; vacuolar protein processing; and vacuolar transport.
WBGene00285064	none available
WBGene00285065	none available
WBGene00285066	Is predicted to encode a protein with the following domains: Laminin N-terminal (Domain VI); Laminin EGF domain; Laminin B (Domain IV); Laminin G domain; Laminin IV; EGF-like domain; Laminin G domain; Laminin EGF domain; Laminin, N-terminal; and Concanavalin A-like lectin/glucanase domain superfamily. Is an ortholog of C. elegans chrIV_pilon.g11645 and epi-1. In C. elegans, epi-1 is involved in several processes, including basement membrane organization; generation of neurons; and positive regulation of endopeptidase activity.
WBGene00285067	Is predicted to encode a protein with the following domains: Williams-Beuren syndrome DDT (WSD), D-TOX E motif; ATP-utilising chromatin assembly and remodelling N-terminal; PHD-finger; Zinc finger, PHD-type; Zinc finger, FYVE/PHD-type; Zinc finger, RING/FYVE/PHD-type; WSTF/Acf1/Cbp146; Zinc finger, PHD-finger; WHIM2 domain; and Bromodomain-like superfamily. Is an ortholog of C. elegans bet-2 and chrX_pilon.g19924.
WBGene00285068	Is predicted to encode a protein with the following domain: Armadillo-type fold.
WBGene00285069	Predicted to enable ubiquitin protein ligase activity and zinc ion binding activity. Predicted to be involved in mRNA transport; protein ubiquitination; and ubiquitin-dependent ERAD pathway. Predicted to be located in nucleus. Predicted to be part of Hrd1p ubiquitin ligase complex. Is an ortholog of B. malayi Bm4400.
WBGene00285070	Predicted to be involved in vesicle-mediated transport. Predicted to be located in membrane. Is an ortholog of C. elegans chrV_pilon.g15851 and syx-5.
WBGene00285071	none available
WBGene00285072	Predicted to be part of kinesin complex. Is an ortholog of C. elegans klc-2; klc-1; and chrV_pilon.g14268. In C. elegans, klc-1 is involved in establishment of meiotic spindle localization and polar body extrusion after meiotic divisions.
WBGene00285073	none available
WBGene00285074	none available
WBGene00285075	Predicted to enable catalytic activity, acting on DNA and heterocyclic compound binding activity. Predicted to be involved in double-strand break repair via homologous recombination and mitotic recombination-dependent replication fork processing. Is an ortholog of C. elegans chrIV_pilon.g11560 and rad-51. In C. elegans, rad-51 is involved in several processes, including intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; meiotic chromosome condensation; and negative regulation of apoptotic process.
WBGene00285076	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans F14H3.12; Y60A3A.16; and chrV_pilon.g17988.
WBGene00285077	Predicted to be located in membrane.
WBGene00285078	Predicted to enable several functions, including ATP binding activity; DNA binding activity; and DNA helicase activity. Predicted to be involved in nucleobase-containing compound metabolic process. Is an ortholog of C. elegans chrI_pilon.g3002 and dog-1. In C. elegans, dog-1 is involved in DNA metabolic process; regulation of DNA-dependent DNA replication; and reproduction.
WBGene00285079	Is predicted to encode a protein with the following domains: NUMB domain; Phosphotyrosine interaction domain (PTB/PID); PTB/PI domain; NUMB domain; and PH-like domain superfamily. Is an ortholog of C. elegans chrV_pilon.g18179 and num-1. In C. elegans, num-1 is involved in endocytic recycling; phospholipid transport; and protein targeting to membrane.
WBGene00285080	Predicted to enable hydroxyacylglutathione hydrolase activity. Predicted to be involved in methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione. Is an ortholog of C. elegans Y17G7B.3 and chrII_pilon.g6078.
WBGene00285081	Predicted to enable metal ion binding activity. Is an ortholog of C. elegans chrIV_pilon.g9603 and lep-2.
WBGene00285082	Predicted to enable transcription coregulator activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be part of mediator complex. Is an ortholog of C. elegans chrII_pilon.g4373 and mdt-4.
WBGene00285083	none available
WBGene00285084	none available
WBGene00285085	Is predicted to encode a protein with the following domains: H2C2 zinc finger and Zinc finger, H2C2-type, histone UAS binding.
WBGene00285086	none available
WBGene00285087	Predicted to enable mismatch base pair DNA N-glycosylase activity. Predicted to be involved in base-excision repair, AP site formation.
WBGene00285088	none available
WBGene00285089	Predicted to enable pentosyltransferase activity. Predicted to be involved in tRNA modification. Is an ortholog of C. elegans chrV_pilon.g17801 and tgt-2.
WBGene00285090	Predicted to enable heme binding activity and oxygen binding activity.
WBGene00285091	Is predicted to encode a protein with the following domains: DnaJ domain; DnaJ domain; and Chaperone J-domain superfamily. Is an ortholog of B. malayi Bm9849 and Bm9850.
WBGene00285092	Predicted to enable carbohydrate binding activity. Is an ortholog of C. elegans F49F1.11; F46A8.3; and lec-12.
WBGene00285093	Predicted to be involved in autophagy.
WBGene00285094	Is predicted to encode a protein with the following domains: Interferon regulatory factor 2-binding protein zinc finger and Interferon regulatory factor 2-binding protein 1 &amp; 2, zinc finger. Is an ortholog of C. elegans chrV_pilon.g16227 and ifbp-1.
WBGene00285095	Is predicted to encode a protein with the following domains: TRP-interacting helix and TRP-interacting helix, InaF motif.
WBGene00285096	none available
WBGene00285097	none available
WBGene00285098	Predicted to enable secondary active sulfate transmembrane transporter activity. Predicted to be involved in sulfate transport and transmembrane transport. Predicted to be located in membrane. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrI_pilon.g488 and sulp-6.
WBGene00285099	Predicted to enable thiol-dependent deubiquitinase and zinc ion binding activity. Predicted to be involved in protein deubiquitination. Is an ortholog of C. elegans chrII_pilon.g3707 and usp-39.
WBGene00285100	Predicted to enable ATP binding activity and protein serine/threonine kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans chrIV_pilon.g11253 and wnk-1. In C. elegans, wnk-1 is involved in hyperosmotic response and multicellular organismal water homeostasis.
WBGene00285101	Predicted to enable ATP binding activity. Is an ortholog of C. elegans chrV_pilon.g18049.
WBGene00285102	none available
WBGene00285103	Predicted to be involved in mitochondrial electron transport, ubiquinol to cytochrome c. Predicted to be part of mitochondrial respiratory chain complex III. Is an ortholog of C. elegans T02H6.11 and chrII_pilon.g3172.
WBGene00285104	Predicted to enable kinase activity. Predicted to be involved in phosphatidylinositol phosphate biosynthetic process and phosphatidylinositol-mediated signaling. Is an ortholog of C. elegans chrX_pilon.g18349 and pifk-1. In C. elegans, pifk-1 is involved in regulation of basement membrane organization.
WBGene00285105	none available
WBGene00285106	none available
WBGene00285107	none available
WBGene00285108	Predicted to be involved in lysosome organization. Is an ortholog of C. elegans chrX_pilon.g20198 and lyst-1.
WBGene00285109	Predicted to enable RNA binding activity. Is an ortholog of C. elegans M04B2.2 and chrIV_pilon.g11873.
WBGene00285110	Predicted to enable guanyl-nucleotide exchange factor activity and metal ion binding activity. Is an ortholog of C. elegans chrIV_pilon.g11169 and exc-5. In C. elegans, exc-5 is involved in several processes, including epithelial cell development; positive regulation of actin filament binding activity; and regulation of tube size.
WBGene00285111	Predicted to enable G protein-coupled GABA receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrIV_pilon.g10209 and gbb-2. In C. elegans, gbb-2 is involved in G protein-coupled receptor signaling pathway; negative regulation of cholinergic synaptic transmission; and response to xenobiotic stimulus.
WBGene00285112	Is predicted to encode a protein with the following domain: Ribonuclease H-like superfamily.
WBGene00285113	none available
WBGene00285114	none available
WBGene00285115	Predicted to enable calcium ion binding activity.
WBGene00285116	Predicted to be involved in potassium ion transport and sodium ion transport. Predicted to be part of sodium:potassium-exchanging ATPase complex. Is an ortholog of B. malayi Bm10351.
WBGene00285117	none available
WBGene00285118	Is predicted to encode a protein with the following domain: Peptidase S1, PA clan.
WBGene00285119	Is predicted to encode a protein with the following domains: Est1 DNA/RNA binding domain; Tetratricopeptide-like helical domain superfamily; and DNA/RNA-binding domain, Est1-type.
WBGene00285120	Predicted to be involved in proteasome-mediated ubiquitin-dependent protein catabolic process. Predicted to be part of proteasome core complex, beta-subunit complex. Is an ortholog of C. elegans chrII_pilon.g4379 and pbs-3.
WBGene00285121	Is predicted to encode a protein with the following domains: GRAM domain and GRAM domain. Is an ortholog of C. elegans C18B2.4; chrII_pilon.g5455; and wbp-2.
WBGene00285122	Predicted to enable GTP cyclohydrolase I activity. Predicted to be involved in tetrahydrofolate biosynthetic process. Is an ortholog of C. elegans cat-4 and chrV_pilon.g15554. In C. elegans, cat-4 is involved in dopamine biosynthetic process from tyrosine; melanin biosynthetic process; and tetrahydrobiopterin biosynthetic process.
WBGene00285123	Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be located in ribosome. Is an ortholog of C. elegans chrV_pilon.g18089 and rpl-2.
WBGene00285124	Predicted to be part of mediator complex. Is an ortholog of C. elegans chrIII_pilon.g9089 and mdt-21.
WBGene00285125	Predicted to be involved in protein transport. Is an ortholog of C. elegans aps-1 and chrV_pilon.g14360. In C. elegans, aps-1 is involved in apical protein localization.
WBGene00285126	none available
WBGene00285127	none available
