stable_id	description
WBGene00023564	Is predicted to encode a protein with the following domains: HMG (high mobility group) box; Domain of unknown function (DUF4819); High mobility group box domain; Domain of unknown function DUF4819; and High mobility group box domain superfamily. Is an ortholog of C. elegans gei-3.
WBGene00023565	Is an ortholog of C. elegans abf-6.
WBGene00023566	Is an ortholog of C. elegans abf-5.
WBGene00023567	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Str and 7TM GPCR, serpentine receptor class r (Str). Is an ortholog of C. elegans str-123.
WBGene00023568	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Str and 7TM GPCR, serpentine receptor class r (Str). Is an ortholog of C. elegans str-124.
WBGene00023569	Predicted to enable glutamate-5-semialdehyde dehydrogenase activity. Predicted to be involved in proline biosynthetic process. Predicted to be located in cytoplasm. Is an ortholog of C. elegans alh-13.
WBGene00023570	Predicted to enable cytokine activity. Predicted to be located in extracellular region. Is an ortholog of C. elegans ilc-17.1. In C. elegans, ilc-17.1 is involved in positive regulation of locomotion and response to oxygen levels.
WBGene00023571	Predicted to enable phosphotransferase activity, for other substituted phosphate groups. Predicted to be involved in phospholipid biosynthetic process. Predicted to be located in membrane. Is an ortholog of C. elegans cept-1.
WBGene00023572	Predicted to enable ABC-type transporter activity and ATP binding activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Expressed in excretory cell and pharynx. Is an ortholog of C. elegans pgp-2; pgp-1; and pgp-3. In C. elegans, pgp-1 is involved in defense response to other organism; response to metal ion; and response to nematicide.
WBGene00023573	Predicted to enable ABC-type transporter activity and ATP binding activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans pgp-14. In C. elegans, pgp-14 is involved in response to nematicide.
WBGene00023574	Is predicted to encode a protein with the following domain: Leucine-rich repeat domain superfamily.
WBGene00023575	Predicted to enable ABC-type transporter activity and ATP binding activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Expressed in amphid neurons and intestine. Is an ortholog of C. elegans pgp-13.
WBGene00023576	Is predicted to encode a protein with the following domains: Regulator of G protein signaling domain; RGS domain; RGS, subdomain 1/3; and RGS domain superfamily. Is an ortholog of C. elegans rgs-2.
WBGene00023577	Predicted to enable ABC-type transporter activity and ATP binding activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans pgp-12. In C. elegans, pgp-12 is involved in response to nematicide.
WBGene00023578	Predicted to enable DNA-binding transcription factor activity; sequence-specific DNA binding activity; and zinc ion binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans nhr-27.
WBGene00023579	Predicted to enable UDP-glycosyltransferase activity. Is an ortholog of C. elegans ugt-50.
WBGene00023580	Predicted to enable metalloendopeptidase activity. Predicted to be involved in proteolysis. Is an ortholog of C. elegans adt-1.
WBGene00023581	Predicted to enable DNA-binding transcription factor activity; sequence-specific DNA binding activity; and zinc ion binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans nhr-17.
WBGene00023582	Is an ortholog of C. elegans nlp-76.
WBGene00023583	Predicted to enable metalloendopeptidase activity and zinc ion binding activity. Predicted to be involved in proteolysis. Predicted to be located in extracellular matrix. Is an ortholog of C. elegans zmp-5.
WBGene00023584	Is an ortholog of C. elegans R09A8.5.
WBGene00023585	Predicted to be a structural constituent of cuticle. Is an ortholog of C. elegans col-182.
WBGene00023586	Is predicted to encode a protein with the following domains: Kelch motif; BTB/POZ domain; BTB/POZ domain; Kelch repeat type 1; Galactose oxidase/kelch, beta-propeller; SKP1/BTB/POZ domain superfamily; BTB/Kelch-associated; and Kelch-type beta propeller. Is an ortholog of C. elegans ivns-1.
WBGene00023587	Is an ortholog of C. elegans T24D5.2.
WBGene00023588	none available
WBGene00023589	Predicted to enable neuropeptide Y receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans npr-4. In C. elegans, npr-4 is involved in regulation of muscle contraction.
WBGene00023590	none available
WBGene00023591	Is an ortholog of C. elegans scd-1.
WBGene00023592	Predicted to enable hydrolase activity. Predicted to be involved in lipid catabolic process. Is an ortholog of C. elegans lips-1.
WBGene00023593	Is predicted to encode a protein with the following domains: Rab-GTPase-TBC domain; Rab-GTPase-TBC domain; and Rab-GTPase-TBC domain superfamily. Is an ortholog of C. elegans tbc-13.
WBGene00023594	Predicted to enable DNA-binding transcription factor activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans atf-6. In C. elegans, atf-6 is involved in ATF6-mediated unfolded protein response; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response; and response to tunicamycin.
WBGene00023595	Is an ortholog of C. elegans F45E6.1.
WBGene00023596	Predicted to enable ATP binding activity; actin filament binding activity; and cytoskeletal motor activity. Predicted to be part of myosin complex. Is an ortholog of C. elegans unc-54 and members of the C. elegans myo and nmy gene classes including myo-3 and nmy-2. In C. elegans, myo-1 is involved in muscle contraction and pharyngeal pumping.
WBGene00023597	Predicted to enable cation transmembrane transporter activity. Predicted to be involved in cation transport and transmembrane transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans cdf-2. In C. elegans, cdf-2 is involved in cellular response to zinc ion and zinc ion transmembrane transport.
WBGene00023598	Is an ortholog of C. elegans T18D3.5.
WBGene00023599	Predicted to enable DNA-binding transcription factor activity; sequence-specific DNA binding activity; and zinc ion binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans odr-7. In C. elegans, odr-7 is involved in negative adaptation of signaling pathway; positive chemotaxis; and positive regulation of transcription by RNA polymerase II.
WBGene00023600	Is predicted to encode a protein with the following domains: WD domain, G-beta repeat; WD40 repeat; WD40/YVTN repeat-like-containing domain superfamily; WD40-repeat-containing domain superfamily; and WD repeat-containing protein 89. Is an ortholog of C. elegans T18D3.1.
WBGene00023601	Predicted to be integral component of membrane. Is an ortholog of C. elegans T18D3.9.
WBGene00023602	Is an ortholog of C. elegans T18D3.6.
WBGene00023603	Predicted to be involved in regulation of transcription by RNA polymerase II. Is an ortholog of C. elegans tsct-1.
WBGene00023604	Is predicted to encode a protein with the following domain: Protein of unknown function DUF3557.
WBGene00023605	Is predicted to encode a protein with the following domain: Protein of unknown function DUF3557.
WBGene00023606	Is an ortholog of C. elegans T24D3.2.
WBGene00023607	Predicted to enable ATP binding activity and protein tyrosine kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans lin-2. In C. elegans, lin-2 is involved in several processes, including oviposition; positive regulation of vulval development; and protein localization to membrane.
WBGene00023608	none available
WBGene00023609	Predicted to enable calcium ion binding activity. Predicted to be involved in transmembrane transport. Is an ortholog of C. elegans F17E5.2.
WBGene00023610	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans nekl-3. In C. elegans, nekl-3 is involved in gonad development and molting cycle.
WBGene00023611	none available
WBGene00023612	Predicted to enable heme binding activity and oxygen binding activity. Is an ortholog of C. elegans glb-13.
WBGene00023613	Is an ortholog of C. elegans F19H6.5.
WBGene00023614	Predicted to enable acireductone dioxygenase [iron(II)-requiring] activity. Is an ortholog of C. elegans F42F12.4.
WBGene00023615	Predicted to enable 3-oxo-5-alpha-steroid 4-dehydrogenase activity. Predicted to be involved in steroid metabolic process. Predicted to be located in membrane. Is an ortholog of C. elegans F42F12.3. In C. elegans, F42F12.3 is involved in innate immune response.
WBGene00023616	none available
WBGene00023617	none available
WBGene00023618	none available
WBGene00023619	none available
WBGene00023620	Is an ortholog of C. elegans B0563.8.
WBGene00023621	Is predicted to encode a protein with the following domains: SET domain and SET domain. Is an ortholog of C. elegans chrX_pilon.g20414 and set-8.
WBGene00023622	none available
WBGene00023623	Is an ortholog of C. elegans B0563.1.
WBGene00023624	Is an ortholog of C. elegans B0563.9.
WBGene00023625	Is an ortholog of C. elegans B0563.10.
WBGene00023626	Predicted to be integral component of membrane. Is an ortholog of C. elegans tsp-11.
WBGene00023627	Is predicted to encode a protein with the following domains: Inhibitor of apoptosis-promoting Bax1 and Bax inhibitor 1-related. Is an ortholog of C. elegans tmbi-4.
WBGene00023628	Predicted to enable calcium ion binding activity. Is an ortholog of C. elegans B0563.7.
WBGene00023629	none available
WBGene00023630	Is an ortholog of C. elegans C28C12.12.
WBGene00023631	Is an ortholog of C. elegans B0001.5.
WBGene00023632	Is an ortholog of C. elegans B0563.5.
WBGene00023633	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans B0563.6.
WBGene00023634	Is predicted to encode a protein with the following domains: BTB/POZ domain; BTB/POZ domain; and SKP1/BTB/POZ domain superfamily. Is an ortholog of C. elegans C25A11.2.
WBGene00023635	none available
WBGene00023636	Predicted to be involved in cell-cell junction organization. Is an ortholog of C. elegans ajm-1. In C. elegans, ajm-1 is involved in cell-cell junction organization and embryo development.
WBGene00023637	none available
WBGene00023638	none available
WBGene00023639	none available
WBGene00023640	Predicted to enable protein heterodimerization activity. Predicted to be involved in transcription initiation from RNA polymerase II promoter. Predicted to be located in nucleus.
WBGene00023641	Predicted to be involved in transmembrane transport. Predicted to be located in membrane. Is an ortholog of C. elegans F47E1.2.
WBGene00023642	Is predicted to encode a protein with the following domains: Zinc finger, C2H2 type; Zinc finger C2H2-type; and Zinc finger C2H2 superfamily. Is an ortholog of C. elegans F47E1.20; chrX_pilon.g19684; and prdm-14.
WBGene00023643	none available
WBGene00023644	Is an ortholog of C. elegans T25B6.1.
WBGene00023645	Predicted to enable metalloendopeptidase activity. Predicted to be involved in proteolysis. Is an ortholog of C. elegans nep-22.
WBGene00023646	Predicted to be integral component of membrane. Is an ortholog of C. elegans snf-12. In C. elegans, snf-12 is involved in positive regulation of antifungal peptide production.
WBGene00023647	Is an ortholog of C. elegans nep-25.
WBGene00023648	none available
WBGene00023649	none available
WBGene00023650	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation.
WBGene00023651	Predicted to enable transmembrane signaling receptor activity. Predicted to be involved in sensory perception of chemical stimulus. Predicted to be located in membrane. Is an ortholog of C. elegans chrV_pilon.g15705 and srg-41.
WBGene00023652	Predicted to enable transmembrane signaling receptor activity. Predicted to be involved in sensory perception of chemical stimulus. Predicted to be located in membrane. Is an ortholog of C. elegans srg-38.
WBGene00023653	none available
WBGene00023654	none available
WBGene00023655	none available
WBGene00023656	none available
WBGene00023657	Predicted to enable protein-N(PI)-phosphohistidine-sugar phosphotransferase activity. Is an ortholog of C. elegans T25B6.5.
WBGene00023658	none available
WBGene00023659	Is an ortholog of C. elegans T25B6.4.
WBGene00023660	none available
WBGene00023661	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans C44C10.7 and K08H2.5.
WBGene00023662	Is predicted to encode a protein with the following domains: Coiled-coil domain-containing protein 154 and Coiled-coil domain-containing protein 154. Is an ortholog of C. elegans C24A3.1.
WBGene00023663	Is predicted to encode a protein with the following domain: Neuropeptide-like peptide 36. Is an ortholog of C. elegans C24A3.2.
WBGene00023664	Predicted to enable catalytic activity. Is an ortholog of C. elegans C24A3.4.
WBGene00023665	Predicted to enable potassium channel activity. Predicted to be involved in potassium ion transmembrane transport. Predicted to be located in membrane. Is an ortholog of C. elegans twk-18. In C. elegans, twk-18 is involved in locomotion; muscle contraction; and potassium ion transport.
WBGene00023666	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans nmur-1.
WBGene00023667	Predicted to enable neuropeptide receptor activity. Predicted to be involved in neuropeptide signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans aexr-3.
WBGene00023668	Is an ortholog of C. elegans T08B6.2.
WBGene00023669	none available
WBGene00023670	none available
WBGene00023671	Predicted to enable protein tyrosine kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans trk-1.
WBGene00023672	Is predicted to encode a protein with the following domains: Tctex-1 family; Dynein light chain Tctex-1 like; and Tctex-1-like superfamily. Is an ortholog of C. elegans dylt-2.
WBGene00023673	Is predicted to encode a protein with the following domains: AMP-binding enzyme C-terminal domain; AMP-binding enzyme; AMP-dependent synthetase/ligase; AMP-binding enzyme, C-terminal domain; and ANL, N-terminal domain. Is an ortholog of C. elegans acs-22.
WBGene00023674	none available
WBGene00023675	none available
WBGene00023676	Predicted to enable neuropeptide hormone activity. Is an ortholog of C. elegans nlp-14. In C. elegans, nlp-14 is involved in cellular response to carbon dioxide and negative regulation of pharyngeal pumping.
WBGene00023677	Predicted to enable peptidyl-prolyl cis-trans isomerase activity. Predicted to be involved in protein peptidyl-prolyl isomerization. Is an ortholog of C. elegans cyn-8.
WBGene00023678	Is predicted to encode a protein with the following domains: Fibrinogen beta and gamma chains, C-terminal globular domain; Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain; Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1; and Fibrinogen-like, C-terminal. Is an ortholog of C. elegans ensh-1.
WBGene00023679	Is predicted to encode a protein with the following domain: KICSTOR complex protein C12orf66-like, central domain superfamily. Is an ortholog of C. elegans C13E3.1.
WBGene00023680	none available
WBGene00023681	Is an ortholog of C. elegans C44C10.9.
WBGene00023682	none available
WBGene00023683	Predicted to enable transmembrane receptor protein serine/threonine kinase activity. Predicted to be located in membrane. Is an ortholog of C. elegans D1053.4.
WBGene00023684	Predicted to enable catalytic activity. Predicted to be involved in aromatic amino acid family metabolic process and glutathione metabolic process. Predicted to be located in cytoplasm. Is an ortholog of C. elegans gst-42.
WBGene00023685	none available
WBGene00023686	Is an ortholog of C. elegans D1053.3.
WBGene00023687	none available
WBGene00023688	Predicted to enable calcium ion binding activity. Is an ortholog of C. elegans C40H5.2.
WBGene00023689	Is predicted to encode a protein with the following domains: Beta-lactamase; Bacterial tandem repeat domain 1; Beta-lactamase-related; and Beta-lactamase/transpeptidase-like. Is an ortholog of C. elegans lact-7.
WBGene00023690	Predicted to enable DNA binding activity. Is an ortholog of C. elegans ttx-3. In C. elegans, ttx-3 is involved in several processes, including neuron differentiation; regulation of developmental process; and response to temperature stimulus.
WBGene00023691	Is an ortholog of C. elegans Y102F5A.1.
WBGene00023692	Is predicted to encode a protein with the following domains: ENTH domain; ENTH/VHS; and ENTH  domain. Is an ortholog of C. elegans rsd-3.
WBGene00023693	none available
WBGene00023694	none available
WBGene00023695	Is predicted to encode a protein with the following domains: ISXO2-like transposase domain and ISXO2-like transposase domain.
WBGene00023696	none available
WBGene00023697	Is predicted to encode a protein with the following domains: Protein of unknown function (DUF1258) and Protein of unknown function DUF1258.
WBGene00023698	Predicted to enable sodium channel activity. Predicted to be involved in sodium ion transport. Predicted to be located in membrane. Is an ortholog of C. elegans del-3.
WBGene00023699	Predicted to enable protein tyrosine/serine/threonine phosphatase activity. Predicted to be involved in protein dephosphorylation. Is an ortholog of C. elegans F26A3.4.
WBGene00023700	none available
WBGene00023701	Is an ortholog of C. elegans F27D4.6.
WBGene00023702	Is predicted to encode a protein with the following domains: UBX domain; UBX domain; UBA-like superfamily; and Ubiquitin-like domain superfamily.
WBGene00023703	Predicted to be involved in vesicle-mediated transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans F27D4.7.
WBGene00023704	Predicted to enable metal ion binding activity. Is an ortholog of C. elegans F27D4.4.
WBGene00023705	Is predicted to encode a protein with the following domains: Transketolase, pyrimidine binding domain; Transketolase-like, pyrimidine-binding domain; and Thiamin diphosphate-binding fold. Is an ortholog of C. elegans bckd-1B and chrI_pilon.g1448. In C. elegans, bckd-1B is involved in positive regulation of fatty acid biosynthetic process and positive regulation of nematode larval development.
WBGene00023706	Predicted to enable catalytic activity. Is an ortholog of C. elegans bckd-1B. In C. elegans, bckd-1B is involved in positive regulation of fatty acid biosynthetic process and positive regulation of nematode larval development.
WBGene00023707	none available
WBGene00023708	none available
WBGene00023709	none available
WBGene00023710	Is an ortholog of C. elegans lsy-22.
WBGene00023711	Predicted to enable electron transfer activity and flavin adenine dinucleotide binding activity. Is an ortholog of C. elegans F27D4.1.
WBGene00023712	Is an ortholog of C. elegans T23G11.1.
WBGene00023713	Predicted to enable single-stranded RNA binding activity. Predicted to be involved in regulation of translation. Expressed in germ line. Is an ortholog of C. elegans gld-1. In C. elegans, gld-1 is involved in negative regulation of nitrogen compound metabolic process; oocyte fate determination; and regulation of reproductive process.
WBGene00023714	Is predicted to encode a protein with the following domains: Hepatocellular carcinoma-associated antigen 59 and Telomere length and silencing protein 1. Is an ortholog of C. elegans T23G11.4.
WBGene00023715	Predicted to enable GTPase activator activity and small GTPase binding activity. Predicted to be involved in small GTPase mediated signal transduction. Is an ortholog of C. elegans rlbp-1.
WBGene00023716	Is predicted to encode a protein with the following domains: Leucine Rich Repeat; Leucine rich repeat; Leucine-rich repeat; Leucine-rich repeat, typical subtype; and Leucine-rich repeat domain superfamily. Is an ortholog of C. elegans lron-9.
WBGene00023717	none available
WBGene00023718	Is predicted to encode a protein with the following domains: Vacuolar sorting 38 and autophagy-related subunit 14; UV radiation resistance protein/autophagy-related protein 14; and Vta1/Callose synthase, N-terminal domain superfamily. Is an ortholog of C. elegans T23G11.7.
WBGene00023719	Predicted to be involved in Golgi organization. Is an ortholog of C. elegans T24B1.1.
WBGene00023720	Is an ortholog of C. elegans F26A3.7.
WBGene00023721	none available
WBGene00023722	Is predicted to encode a protein with the following domains: Domain of unknown function (DUF3557) and Protein of unknown function DUF3557. Is an ortholog of C. elegans fbxc-32; fbxc-39; and fbxc-40.
WBGene00023723	Is predicted to encode a protein with the following domains: Domain of unknown function (DUF3557) and Protein of unknown function DUF3557. Is an ortholog of C. elegans sdz-4 and members of the C. elegans fbxc gene class including fbxc-18.
WBGene00023724	Is predicted to encode a protein with the following domains: Domain of unknown function (DUF3557) and Protein of unknown function DUF3557. Is an ortholog of C. elegans sdz-4 and members of the C. elegans fbxc gene class including fbxc-18.
WBGene00023725	Is predicted to encode a protein with the following domains: Domain of unknown function (DUF3557) and Protein of unknown function DUF3557. Is an ortholog of C. elegans sdz-4 and members of the C. elegans fbxc gene class including fbxc-18.
WBGene00023726	Is predicted to encode a protein with the following domains: Domain of unknown function (DUF3557) and Protein of unknown function DUF3557. Is an ortholog of C. elegans sdz-4 and members of the C. elegans fbxc gene class including fbxc-28.
WBGene00023727	Predicted to enable sodium channel activity. Predicted to be involved in sodium ion transport. Predicted to be located in membrane. Is an ortholog of C. elegans del-4.
WBGene00023728	Predicted to enable protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans Y43C5B.2.
WBGene00023729	Predicted to enable RNA-directed 5'-3' RNA polymerase activity. Is an ortholog of C. elegans ego-1. In C. elegans, ego-1 is involved in RNA interference; gamete generation; and nuclear pore localization.
WBGene00023730	none available
WBGene00023731	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srv and 7TM GPCR, serpentine receptor class v (Srv). Is an ortholog of C. elegans srv-16.
WBGene00023732	none available
