stable_id	description
WBGene00255775	Is predicted to encode a protein with the following domains: Protein of unknown function (DUF1647); Protein of unknown function DUF1647; and Nucleotide-diphospho-sugar transferases. Is an ortholog of C. elegans F22E5.1; C16D9.4; and T15D6.9.
WBGene00255776	Predicted to enable carboxylic ester hydrolase activity. Predicted to be integral component of membrane.
WBGene00255777	Is predicted to encode a protein with the following domains: Rdx family; Selenoprotein, Rdx-type; Selenoprotein T; and Thioredoxin-like superfamily. Is an ortholog of C. elegans selt-1.1; selt-1.2; and chrX_pilon.g20086.
WBGene00255778	Is predicted to encode a protein with the following domains: Mo25-like; Armadillo-like helical; Mo25-like; and Armadillo-type fold. Is an ortholog of C. elegans mop-25.1; mop-25.2; and chrX_pilon.g18851. In C. elegans, mop-25.2 is involved in asymmetric neuroblast division.
WBGene00255779	none available
WBGene00255780	none available
WBGene00255781	none available
WBGene00255782	Is predicted to encode a protein with the following domains: Innexin and Innexin. Is an ortholog of C. elegans chrV_pilon.g15199 and inx-10.
WBGene00255783	Is predicted to encode a protein with the following domains: Innexin and Innexin. Is an ortholog of O. volvulus OVOC7214.
WBGene00255784	Predicted to enable gap junction channel activity involved in cell communication by electrical coupling. Predicted to be located in gap junction. Is an ortholog of C. elegans chrV_pilon.g16026 and inx-11.
WBGene00255785	Predicted to enable catalytic activity and pyridoxal phosphate binding activity. Predicted to be involved in biosynthetic process. Is an ortholog of C. elegans chrV_pilon.g14880 and sptl-2.
WBGene00255786	Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be located in ribosome. Is an ortholog of C. elegans chrIV_pilon.g9494 and rps-24.
WBGene00255787	Predicted to enable cation:chloride symporter activity. Predicted to be involved in ion transport and transmembrane transport. Predicted to be located in membrane. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrIV_pilon.g12425 and nkcc-1.
WBGene00255788	Is predicted to encode a protein with the following domains: Mitochondrial carrier protein; Mitochondrial substrate/solute carrier; and Mitochondrial carrier domain superfamily. Is an ortholog of C. elegans R07B7.10 and chrV_pilon.g15919.
WBGene00255789	Predicted to enable transmembrane transporter activity. Predicted to be involved in transmembrane transport.
WBGene00255790	Predicted to enable transmembrane transporter activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans Y82E9BR.16 and chrIII_pilon.g6961.
WBGene00255791	Predicted to be involved in DNA replication. Predicted to be part of GINS complex. Is an ortholog of C. elegans chrII_pilon.g5636 and psf-1.
WBGene00255792	Is predicted to encode a protein with the following domains: ABC-type uncharacterized transport system; ABC-type uncharacterised transport system; Class I glutamine amidotransferase-like; and Intraflagellar transport protein 52 homolog. Is an ortholog of C. elegans chrV_pilon.g15884 and osm-6. In C. elegans, osm-6 is involved in several processes, including cellular response to salt; non-motile cilium assembly; and sensory perception of mechanical stimulus.
WBGene00255793	Predicted to enable ribokinase activity. Predicted to be involved in D-ribose metabolic process. Is an ortholog of C. elegans F07A11.5 and chrII_pilon.g5996.
WBGene00255794	Predicted to enable kinase activity. Is an ortholog of C. elegans F07A11.5 and chrII_pilon.g5996.
WBGene00255795	Is predicted to encode a protein with the following domains: Domain of unknown function (DUF4187); Domain of unknown function DUF4187; and G patch domain-containing protein 11. Is an ortholog of C. elegans T04H1.5 and chrV_pilon.g15959.
WBGene00255796	Is predicted to encode a protein with the following domains: Protein similar to CwfJ C-terminus 1; Protein similar to CwfJ C-terminus 2; Cwf19-like protein, C-terminal domain-2; Cwf19-like, C-terminal domain-1; HIT-like superfamily; and Cwf19-like protein. Is an ortholog of C. elegans chrV_pilon.g14380; chrV_pilon.g14383; and cwf-19L1.
WBGene00255797	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans chrIV_pilon.g11577; chrIV_pilon.g12098; and gkow-1.
WBGene00255798	Predicted to enable ATP binding activity and proline-tRNA ligase activity. Predicted to be involved in prolyl-tRNA aminoacylation. Predicted to be located in cytoplasm. Is an ortholog of C. elegans chrI_pilon.g2518 and pars-2.
WBGene00255799	Is predicted to encode a protein with the following domain: Chaperone J-domain superfamily. Is an ortholog of C. elegans chrII_pilon.g5410 and dnj-23.
WBGene00255800	Is predicted to encode a protein with the following domains: Ribosomal protein L11 methyltransferase (PrmA) and S-adenosyl-L-methionine-dependent methyltransferase. Is an ortholog of B. malayi Bm10394.
WBGene00255801	Is predicted to encode a protein with the following domains: CRAL/TRIO domain; CRAL-TRIO lipid binding domain; CRAL/TRIO, N-terminal domain superfamily; GOLD domain superfamily; and CRAL-TRIO lipid binding domain superfamily. Is an ortholog of C. elegans F20G2.3 and chrV_pilon.g16321.
WBGene00255802	Is an ortholog of C. elegans chrV_pilon.g17581 and dcar-1. In C. elegans, dcar-1 is involved in defense response to fungus and response to wounding.
WBGene00255803	Is an ortholog of C. elegans T05A7.7 and chrII_pilon.g4293.
WBGene00255804	Predicted to enable biotin-[acetyl-CoA-carboxylase] ligase activity. Predicted to be involved in cellular protein modification process. Is an ortholog of C. elegans bpl-1.
WBGene00255805	Predicted to enable mannosyltransferase activity. Is an ortholog of C. elegans algn-9.
WBGene00255806	Predicted to enable ATP binding activity; ATP hydrolysis activity; and proteasome-activating activity. Predicted to be involved in protein catabolic process. Predicted to be located in cytoplasm. Is an ortholog of C. elegans chrIII_pilon.g7954 and rpt-3.
WBGene00255807	Is predicted to encode a protein with the following domains: Chromo (CHRromatin Organisation MOdifier) domain; Chromo/chromo shadow domain; Chromo-like domain superfamily; and Chromo domain.
WBGene00255808	Predicted to enable protein kinase activity. Predicted to be involved in cyclic nucleotide biosynthetic process; intracellular signal transduction; and protein phosphorylation. Is an ortholog of C. elegans chrIV_pilon.g9933 and gcy-23. In C. elegans, gcy-23 is involved in detection of temperature stimulus; thermosensory behavior; and thermotaxis.
WBGene00255809	Predicted to enable lipid binding activity. Is an ortholog of C. elegans chrI_pilon.g1226 and lbp-6.
WBGene00255810	Predicted to enable ATP binding activity and protein tyrosine kinase activity. Predicted to be involved in protein phosphorylation.
WBGene00255811	Predicted to be integral component of membrane.
WBGene00255812	Is predicted to encode a protein with the following domains: BTB And C-terminal Kelch; Kelch motif; Kelch repeat type 1; BTB/Kelch-associated; and Kelch-type beta propeller.
WBGene00255813	Is predicted to encode a protein with the following domains: Transmembrane amino acid transporter protein and Amino acid transporter, transmembrane domain. Is an ortholog of C. elegans Y32F6A.4 and chrV_pilon.g15520.
WBGene00255814	Predicted to enable cysteine-type peptidase activity. Predicted to be involved in proteolysis. Is an ortholog of B. malayi Bm99; Bm12798; and Bm9835.
WBGene00255815	Predicted to enable cysteine-type peptidase activity. Predicted to be involved in proteolysis. Is an ortholog of B. malayi Bm99; Bm12798; and Bm9835.
WBGene00255816	none available
WBGene00255817	none available
WBGene00255818	Predicted to enable chondroitin 4-sulfotransferase activity. Predicted to be involved in chondroitin sulfate biosynthetic process and positive regulation of response to oxidative stress. Predicted to be integral component of membrane.
WBGene00255819	Predicted to enable metalloendopeptidase activity and zinc ion binding activity. Predicted to be involved in proteolysis.
WBGene00255820	Is predicted to encode a protein with the following domains: Moulting cycle and Moulting cycle MLT-10-like protein. Is an ortholog of C. elegans chrIV_pilon.g11211 and mltn-12.
WBGene00255821	none available
WBGene00255822	Is an ortholog of C. elegans chrIV_pilon.g11211 and mltn-12.
WBGene00255823	Is predicted to encode a protein with the following domains: Moulting cycle and Moulting cycle MLT-10-like protein. Is an ortholog of C. elegans chrIV_pilon.g11211 and mltn-12.
WBGene00255824	Predicted to enable transmembrane transporter activity. Predicted to be involved in ion transport and transmembrane transport. Predicted to be located in membrane. Is an ortholog of O. volvulus OVOC6187.
WBGene00255825	none available
WBGene00255826	Is predicted to encode a protein with the following domains: Protein of unknown function (DUF1647) and Protein of unknown function DUF1647. Is an ortholog of C. elegans F22E5.1; C16D9.4; and T15D6.9.
WBGene00255827	Predicted to enable UDP-glycosyltransferase activity. Is an ortholog of C. elegans chrV_pilon.g15501 and ugt-49.
WBGene00255828	none available
WBGene00255829	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srsx and Serpentine type 7TM GPCR chemoreceptor Srsx.
WBGene00255830	Predicted to enable transmembrane signaling receptor activity. Predicted to be involved in sensory perception of chemical stimulus. Predicted to be located in membrane.
WBGene00255831	Is predicted to encode a protein with the following domains: SOCS box; SPRY domain; SOCS box domain; SPRY domain; and Concanavalin A-like lectin/glucanase domain superfamily. Is an ortholog of C. elegans spsb-1; spsb-2; and chrII_pilon.g6679.
WBGene00255832	Predicted to enable transmembrane signaling receptor activity. Predicted to be involved in sensory perception of chemical stimulus. Predicted to be located in membrane.
WBGene00255833	Predicted to enable nucleic acid binding activity. Predicted to be involved in DNA integration.
WBGene00255834	Predicted to enable oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen. Is an ortholog of C. elegans Y50D4C.6 and chrV_pilon.g13160.
WBGene00255835	Predicted to be involved in axon guidance. Predicted to be located in membrane. Is an ortholog of C. elegans chrX_pilon.g19926 and sdn-1. In C. elegans, sdn-1 is involved in embryo development; epidermis morphogenesis; and nematode larval development.
WBGene00255836	Is predicted to encode a protein with the following domains: Myosin-binding striated muscle assembly central; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; Armadillo-type fold; Tetratricopeptide repeat; and UNC-45/Cro1/She4, central domain. Is an ortholog of C. elegans chrIII_pilon.g6765 and unc-45. In C. elegans, unc-45 is involved in several processes, including embryo development; oviposition; and sarcomere organization.
WBGene00255837	Is predicted to encode a protein with the following domain: Zinc finger C2H2-type.
WBGene00255838	Is predicted to encode a protein with the following domain: Zinc finger C2H2-type.
WBGene00255839	Predicted to enable protein dimerization activity. Is an ortholog of C. elegans chrII_pilon.g4752 and lin-23. In C. elegans, lin-23 is involved in several processes, including negative regulation of centrosome duplication; regulation of protein stability; and ubiquitin-dependent protein catabolic process.
WBGene00255840	Predicted to enable translation initiation factor activity. Predicted to be involved in translational initiation. Is an ortholog of C. elegans chrX_pilon.g18383 and ife-4.
WBGene00255841	Predicted to enable phospholipase activity. Is an ortholog of C. elegans F09B12.3 and chrX_pilon.g20704.
WBGene00255842	Predicted to enable ATP binding activity; actin filament binding activity; and cytoskeletal motor activity. Predicted to be part of myosin complex. Is an ortholog of C. elegans chrX_pilon.g20271 and myo-2.
WBGene00255843	Predicted to enable nucleotide binding activity.
WBGene00255844	none available
WBGene00255845	Is predicted to encode a protein with the following domains: Thioredoxin-like; Thioredoxin-like fold; and Thioredoxin-like superfamily. Is an ortholog of B. malayi Bm2492.
WBGene00255846	Is predicted to encode a protein with the following domains: Thioredoxin-like; Thioredoxin-like fold; and Thioredoxin-like superfamily. Is an ortholog of B. malayi Bm2492.
WBGene00255847	none available
WBGene00255848	Predicted to enable voltage-gated anion channel activity. Predicted to be involved in anion transmembrane transport and regulation of cilium assembly. Predicted to be located in mitochondrial outer membrane. Is an ortholog of C. elegans chrIV_pilon.g10852 and vdac-1. In C. elegans, vdac-1 is involved in mitochondrion organization.
WBGene00255849	Predicted to be involved in intracellular signal transduction.
WBGene00255850	Predicted to enable oxidoreductase activity. Is an ortholog of C. elegans chrI_pilon.g1870 and dhs-4.
WBGene00255851	Predicted to enable RNA binding activity.
WBGene00255852	Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be located in ribosome. Is an ortholog of C. elegans chrIII_pilon.g8233 and rpl-35.
WBGene00255853	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane.
WBGene00255854	none available
WBGene00255855	Predicted to enable sodium channel activity. Predicted to be involved in sodium ion transport. Predicted to be located in membrane. Is an ortholog of C. elegans chrV_pilon.g15556 and del-6.
WBGene00255856	Predicted to be involved in retrograde transport, endosome to Golgi. Predicted to be part of GARP complex. Is an ortholog of C. elegans chrV_pilon.g15555 and vps-54.
WBGene00255857	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans chrII_pilon.g5142 and sap-49.
WBGene00255858	none available
WBGene00255859	none available
WBGene00255860	none available
WBGene00255861	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srx and 7TM GPCR, serpentine receptor class x  (Srx). Is an ortholog of C. elegans fbxa-199 and chrV_pilon.g17554 and members of the C. elegans srx gene class including srx-43.
WBGene00255862	none available
WBGene00255863	Predicted to enable protein tyrosine phosphatase activity. Predicted to be involved in protein dephosphorylation. Is an ortholog of C. elegans W03F11.4; moa-1; and chrI_pilon.g304.
WBGene00255864	Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be located in extracellular space.
WBGene00255865	none available
WBGene00255866	Predicted to be involved in intraciliary transport. Is an ortholog of C. elegans chrX_pilon.g19896 and dyf-6. In C. elegans, dyf-6 is involved in intraciliary transport and non-motile cilium assembly.
WBGene00255867	Predicted to enable calcium ion binding activity. Is an ortholog of B. malayi Bm2171.
WBGene00255868	Predicted to enable ubiquitin-protein transferase activity. Predicted to be involved in protein ubiquitination. Is an ortholog of C. elegans chn-1. In C. elegans, chn-1 is involved in several processes, including oviposition; protein ubiquitination; and sarcomere organization.
WBGene00255869	Is predicted to encode a protein with the following domains: Cytochrome c oxidase biogenesis protein Cmc1 like and Cytochrome c oxidase biogenesis protein Cmc1-like. Is an ortholog of C. elegans F01F1.2.
WBGene00255870	Predicted to enable DNA binding activity. Is an ortholog of C. elegans chrX_pilon.g20128 and ttx-3. In C. elegans, ttx-3 is involved in several processes, including neuron differentiation; regulation of developmental process; and response to temperature stimulus.
WBGene00255871	Is predicted to encode a protein with the following domains: Ribosomal protein L7Ae/L30e/S12e/Gadd45 family; Ribosomal protein L7A/L8; Ribosomal protein L7Ae/L30e/S12e/Gadd45; Ribosomal protein L7Ae/L8/Nhp2 family; and 50S ribosomal protein L30e-like. Is an ortholog of C. elegans chrIV_pilon.g10188; chrX_pilon.g18202; and rpl-7A.
WBGene00255872	Is predicted to encode a protein with the following domain: Zona pellucida domain. Is an ortholog of B. malayi Bm9508.
WBGene00255873	Predicted to enable nucleic acid binding activity and peptidyl-prolyl cis-trans isomerase activity. Predicted to be involved in protein peptidyl-prolyl isomerization. Is an ortholog of C. elegans chrIV_pilon.g12828; chrIV_pilon.g12830; and cyn-13. In C. elegans, cyn-13 is involved in apoptotic DNA fragmentation.
WBGene00255874	Is predicted to encode a protein with the following domains: Protein of unknown function (DUF1679); Protein kinase-like domain superfamily; Uncharacterised oxidoreductase Dhs-27; and CHK kinase-like. Is an ortholog of C. elegans C29F7.2; nhr-246; and C29F7.1.
WBGene00255875	Is predicted to encode a protein with the following domains: emp24/gp25L/p24 family/GOLD; GOLD domain; and Transmembrane emp24 domain-containing protein. Is an ortholog of C. elegans chrV_pilon.g17995 and tmed-4.
WBGene00255876	Predicted to enable oxidoreductase activity. Is an ortholog of C. elegans chrV_pilon.g17994 and dhs-24.
WBGene00255877	none available
WBGene00255878	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrIV_pilon.g11103 and npr-22. In C. elegans, npr-22 is involved in several processes, including determination of adult lifespan; negative regulation of feeding behavior; and positive regulation of oviposition.
WBGene00255879	Predicted to enable DNA binding activity and DNA topoisomerase type I (single strand cut, ATP-independent) activity. Predicted to be involved in DNA topological change. Is an ortholog of C. elegans Y48C3A.14 and chrII_pilon.g6357.
WBGene00255880	Predicted to enable transmembrane transporter activity. Predicted to be involved in transmembrane transport. Is an ortholog of C. elegans chrX_pilon.g19063 and chtl-1.
WBGene00255881	Predicted to enable nucleic acid binding activity and poly(A)-specific ribonuclease activity. Predicted to be part of CCR4-NOT complex. Is an ortholog of C. elegans ccf-1 and chrIII_pilon.g9121. In C. elegans, ccf-1 is involved in nuclear-transcribed mRNA poly(A) tail shortening and oogenesis.
WBGene00255882	none available
WBGene00255883	Is predicted to encode a protein with the following domain: HORMA domain superfamily.
WBGene00255884	Is predicted to encode a protein with the following domains: PCI domain; Proteasome component (PCI) domain; and Winged helix-like DNA-binding domain superfamily. Is an ortholog of C. elegans C27F2.10.
WBGene00255885	Is an ortholog of C. elegans T19A5.3 and chrV_pilon.g15116.
WBGene00255886	Predicted to enable sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Predicted to be located in nucleus. Is an ortholog of C. elegans chrV_pilon.g16198 and dmd-10. In C. elegans, dmd-10 is involved in mechanosensory behavior and response to osmotic stress.
WBGene00255887	Predicted to enable sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Predicted to be located in nucleus. Is an ortholog of C. elegans chrV_pilon.g16197.
WBGene00255888	none available
WBGene00255889	Is predicted to encode a protein with the following domains: Collagen triple helix repeat (20 copies) and Collagen triple helix repeat.
WBGene00255890	Is predicted to encode a protein with the following domains: Ground-like domain and Ground-like domain. Is an ortholog of C. elegans nlp-34.
WBGene00255891	none available
WBGene00255892	Predicted to enable ATP binding activity; ATP hydrolysis activity; and proteasome-activating activity. Predicted to be involved in protein catabolic process. Predicted to be located in cytoplasm. Is an ortholog of C. elegans chrV_pilon.g14359 and rpt-2. In C. elegans, rpt-2 is involved in negative regulation of gene expression.
WBGene00255893	Predicted to enable protein tyrosine kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans chrV_pilon.g14258 and hir-1.
WBGene00255894	Predicted to enable metal ion binding activity. Predicted to be involved in superoxide metabolic process. Is an ortholog of B. malayi Bm5473.
WBGene00255895	Predicted to enable GTP binding activity and GTPase activity. Is an ortholog of C. elegans chrV_pilon.g13200 and rab-1.
WBGene00255896	Is predicted to encode a protein with the following domains: von Willebrand factor type A domain; von Willebrand factor, type A; and von Willebrand factor A-like domain superfamily.
WBGene00255897	Is predicted to encode a protein with the following domains: SANT/Myb domain; Homeobox-like domain superfamily; and Zinc finger C2H2-type. Is an ortholog of C. elegans chrV_pilon.g15617 and saeg-1.
WBGene00255898	Predicted to enable RNA binding activity and tRNA (guanine-N2-)-methyltransferase activity. Predicted to be involved in tRNA processing. Is an ortholog of C. elegans chrV_pilon.g16451 and trm-1.
WBGene00255899	Predicted to enable translation release factor activity. Predicted to be involved in translational termination. Is an ortholog of C. elegans chrV_pilon.g14434 and erfa-1.
WBGene00255900	Predicted to enable oxidoreductase activity. Is an ortholog of C. elegans hpo-19; T05H4.4; and chrV_pilon.g14436.
WBGene00255901	Predicted to enable transmembrane signaling receptor activity. Predicted to be involved in sensory perception of chemical stimulus. Predicted to be located in membrane.
WBGene00255902	Predicted to enable oxidoreductase activity.
WBGene00255903	Predicted to be involved in positive regulation of plasminogen activation. Predicted to be integral component of plasma membrane. Is an ortholog of B. malayi Bm11078.
WBGene00255904	Predicted to be involved in positive regulation of plasminogen activation. Predicted to be integral component of plasma membrane.
WBGene00255905	Is an ortholog of C. elegans chrV_pilon.g15367 and egl-47. In C. elegans, egl-47 is involved in G protein-coupled receptor signaling pathway and oviposition.
WBGene00255906	Predicted to enable G protein-coupled receptor activity and protein-hormone receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrV_pilon.g15366 and fshr-1. In C. elegans, fshr-1 is involved in defense response to other organism; response to oxidative stress; and stress response to cadmium ion.
WBGene00255907	Predicted to enable acyltransferase activity, transferring groups other than amino-acyl groups. Is an ortholog of C. elegans chrV_pilon.g14445 and dgtr-1.
WBGene00255908	Predicted to enable heme binding activity; iron ion binding activity; and oxygen binding activity. Predicted to be involved in oxygen transport. Is an ortholog of C. elegans chrIII_pilon.g8505 and glb-1.
WBGene00255909	Is predicted to encode a protein with the following domains: Zinc finger, PHD-type; Zinc finger, FYVE/PHD-type; Zinc finger, RING/FYVE/PHD-type; and ING family. Is an ortholog of C. elegans chrIV_pilon.g12788 and lsy-13.
WBGene00255910	Is predicted to encode a protein with the following domain: WD40-repeat-containing domain superfamily.
WBGene00255911	Predicted to be involved in lipid metabolic process. Is an ortholog of C. elegans F28H7.3; T21H3.1; and B0035.13.
WBGene00255912	Predicted to enable nucleic acid binding activity and zinc ion binding activity. Is an ortholog of C. elegans K08D12.3 and chrIV_pilon.g9721.
WBGene00255913	Predicted to enable hydrolase activity. Is an ortholog of C. elegans chrV_pilon.g15582 and gsp-1. In C. elegans, gsp-1 is involved in negative regulation of protein phosphorylation and positive regulation of gene expression.
WBGene00255914	Predicted to enable pre-mRNA 3'-splice site binding activity and second spliceosomal transesterification activity. Predicted to be involved in mRNA splicing, via spliceosome. Is an ortholog of C. elegans chrV_pilon.g15496 and sluh-7.
WBGene00255915	Is predicted to encode a protein with the following domains: PAP2 superfamily; Phosphatidic acid phosphatase type 2/haloperoxidase; and Phosphatidic acid phosphatase type 2/haloperoxidase superfamily.
WBGene00255916	Predicted to enable metal ion transmembrane transporter activity. Predicted to be involved in metal ion transport and transmembrane transport. Predicted to be located in membrane. Is an ortholog of C. elegans chrV_pilon.g16308 and zipt-9.
WBGene00255917	Predicted to enable ATP binding activity; phenylalanine-tRNA ligase activity; and tRNA binding activity. Predicted to be involved in phenylalanyl-tRNA aminoacylation. Predicted to be located in cytoplasm. Is an ortholog of C. elegans chrV_pilon.g17985 and fars-2.
WBGene00255918	Is predicted to encode a protein with the following domains: Glycosyl transferase family 2; Ricin-type beta-trefoil lectin domain; Ricin B, lectin domain; Glycosyltransferase 2-like; Nucleotide-diphospho-sugar transferases; and Ricin B-like lectins. Is an ortholog of C. elegans chrV_pilon.g17982 and gly-4. In C. elegans, gly-4 is involved in protein O-linked glycosylation via threonine.
WBGene00255919	Is predicted to encode a protein with the following domains: PAP2 superfamily; Phosphatidic acid phosphatase type 2/haloperoxidase; and Phosphatidic acid phosphatase type 2/haloperoxidase superfamily.
WBGene00255920	Predicted to enable GTP binding activity and GTPase activity. Is an ortholog of C. elegans cdc-42 and chrII_pilon.g5065. In C. elegans, cdc-42 is involved in several processes, including establishment of mitotic spindle orientation; positive regulation of nematode male tail tip morphogenesis; and regulation of cellular component organization.
WBGene00255921	Predicted to enable translation initiation factor activity. Predicted to be located in cytoplasm. Predicted to be part of eukaryotic translation initiation factor 3 complex. Is an ortholog of C. elegans chrII_pilon.g4559 and eif-3.L.
WBGene00255922	Predicted to enable lipid binding activity.
WBGene00255923	Predicted to be involved in lipid metabolic process.
WBGene00255924	none available
WBGene00255925	Predicted to enable DNA-binding transcription factor activity; sequence-specific DNA binding activity; and zinc ion binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Is an ortholog of C. elegans end-1 and egl-18 and members of the C. elegans elt gene class including elt-2. In C. elegans, egl-18 is involved in several processes, including cell fate specification; nematode larval development; and positive regulation of nematode male tail tip morphogenesis.
WBGene00255926	none available
WBGene00255927	Predicted to enable secondary active sulfate transmembrane transporter activity and serine-type endopeptidase inhibitor activity. Predicted to be involved in sulfate transport and transmembrane transport. Predicted to be located in membrane. Predicted to be integral component of membrane. Is an ortholog of B. malayi Bm13610.
WBGene00255928	none available
WBGene00255929	Predicted to enable DNA binding activity. Is an ortholog of C. elegans chrX_pilon.g18830 and lim-4. In C. elegans, lim-4 is involved in several processes, including regulation of neuron differentiation; regulation of transcription by RNA polymerase II; and serotonin biosynthetic process.
WBGene00255930	Predicted to be involved in transmembrane transport. Predicted to be located in membrane. Is an ortholog of C. elegans F47E1.2; F47E1.4; and chrX_pilon.g19686.
WBGene00255931	Predicted to be involved in DNA-dependent DNA replication.
WBGene00255932	Predicted to be part of SWI/SNF complex. Is an ortholog of C. elegans chrV_pilon.g18052 and swsn-1. In C. elegans, swsn-1 is involved in several processes, including gonad development; negative regulation of vulval development; and positive regulation of growth rate.
WBGene00255933	Predicted to enable calcium ion binding activity and phosphatidylinositol phospholipase C activity. Predicted to be involved in intracellular signal transduction and lipid metabolic process. Is an ortholog of B. malayi Bma-egl-8.
